"Node","Matches"
"UPBOX.203:AS
odat[15] = idat[60];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 15, 15), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 60, 60)]"
"USBOX.226:CA","[]"
"UPBOX.178:AS
odat[9] = idat[36];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 9, 9), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 36, 36)]"
"UPBOX.182:AS
odat[10] = idat[40];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 10, 10), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 40, 40)]"
"94:AL","[]"
"85:AL","[]"
"USBOXKEY.230:CA","[]"
"USBOX.221:CA","[]"
"USBOX.227:CA","[]"
"UPBOX.196:AS
odat[29] = idat[53];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 29, 29), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 53, 53)]"
"USBOX.230:CA","[]"
"USBOX.226:BS
odat = 4'h3;","[('PRESENT_ENCRYPT_TB.dut.sbox_loop[0].USBOX.odat[3:0]', 3, 0)]"
"USBOXKEY.227:CA","[]"
"USBOXKEY.224:CA","[]"
"UPBOX.150:AS
odat[34] = idat[10];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 34, 34), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 10, 10)]"
"USBOX.233:CA","[]"
"UPBOX.205:AS
odat[47] = idat[62];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 47, 47), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 62, 62)]"
"USBOXKEY.216:AL","[]"
"UPBOX.148:AS
odat[2] = idat[8];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 2, 2), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 8, 8)]"
"UPBOX.141:AS
odat[16] = idat[1];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 16, 16), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 1, 1)]"
"87:IF","[]"
"USBOXKEY.226:BS
odat = 4'h3;","[('PRESENT_ENCRYPT_TB.dut.USBOXKEY.odat[3:0]', 3, 0)]"
"118:SS","[]"
"USBOXKEY.222:CA","[]"
"USBOXKEY.223:CA","[]"
"99:NS
round <= round + 1;","[('PRESENT_ENCRYPT_TB.dut.round[4:0]', 4, 0)]"
"UPBOX.201:AS
odat[46] = idat[58];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 46, 46), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 58, 58)]"
"52:AS
kdat2[19:15] = kdat1[19:15] ^ round;","[('PRESENT_ENCRYPT_TB.dut.kdat2[79:0]', 19, 15), ('PRESENT_ENCRYPT_TB.dut.kdat1[79:0]', 19, 15), ('PRESENT_ENCRYPT_TB.dut.round[4:0]', 4, 0)]"
"USBOX.225:CA","[]"
"USBOXKEY.223:BS
odat = 4'h0;","[('PRESENT_ENCRYPT_TB.dut.USBOXKEY.odat[3:0]', 3, 0)]"
"UPBOX.188:AS
odat[43] = idat[46];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 43, 43), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 46, 46)]"
"UPBOX.161:AS
odat[5] = idat[20];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 5, 5), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 20, 20)]"
"USBOXKEY.232:BS
odat = 4'h1;","[('PRESENT_ENCRYPT_TB.dut.USBOXKEY.odat[3:0]', 3, 0)]"
"115:AL","[]"
"USBOX.219:CA","[]"
"88:NS
kreg <= key;","[('PRESENT_ENCRYPT_TB.dut.kreg[79:0]', 79, 0), ('PRESENT_ENCRYPT_TB.key[79:0]', 79, 0)]"
"USBOX.225:BS
odat = 4'hD;","[('PRESENT_ENCRYPT_TB.dut.sbox_loop[0].USBOX.odat[3:0]', 3, 0)]"
"USBOX.229:BS
odat = 4'h8;","[('PRESENT_ENCRYPT_TB.dut.sbox_loop[0].USBOX.odat[3:0]', 3, 0)]"
"81:NS
dreg <= dat3;","[('PRESENT_ENCRYPT_TB.dut.dreg[63:0]', 63, 0), ('PRESENT_ENCRYPT_TB.dut.dat3[63:0]', 63, 0)]"
"USBOXKEY.222:BS
odat = 4'h9;","[('PRESENT_ENCRYPT_TB.dut.USBOXKEY.odat[3:0]', 3, 0)]"
"USBOX.222:CA","[]"
"USBOX.232:CA","[]"
"USBOXKEY.218:BS
odat = 4'hC;","[('PRESENT_ENCRYPT_TB.dut.USBOXKEY.odat[3:0]', 3, 0)]"
"UPBOX.168:AS
odat[54] = idat[27];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 54, 54), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 27, 27)]"
"USBOXKEY.221:BS
odat = 4'hB;","[('PRESENT_ENCRYPT_TB.dut.USBOXKEY.odat[3:0]', 3, 0)]"
"90:NS
kreg <= kdat2;","[('PRESENT_ENCRYPT_TB.dut.kreg[79:0]', 79, 0), ('PRESENT_ENCRYPT_TB.dut.kdat2[79:0]', 79, 0)]"
"UPBOX.191:AS
odat[12] = idat[48];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 12, 12), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 48, 48)]"
"UPBOX.147:AS
odat[49] = idat[7];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 49, 49), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 7, 7)]"
"UPBOX.204:AS
odat[31] = idat[61];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 31, 31), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 61, 61)]"
"USBOXKEY.220:CA","[]"
"UPBOX.165:AS
odat[6] = idat[24];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 6, 6), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 24, 24)]"
"USBOX.228:BS
odat = 4'hF;","[('PRESENT_ENCRYPT_TB.dut.sbox_loop[0].USBOX.odat[3:0]', 3, 0)]"
"Leaf_76:AL","[]"
"UPBOX.179:AS
odat[25] = idat[37];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 25, 25), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 37, 37)]"
"USBOXKEY.225:BS
odat = 4'hD;","[('PRESENT_ENCRYPT_TB.dut.USBOXKEY.odat[3:0]', 3, 0)]"
"78:IF","[]"
