sig_key,width,toggles
RSA_tb.RSA.mux3_1_9.b[8:0],9,161806 1604064 895144 414718 842936 846468 853532 901698 929952
RSA_tb.RSA.mux3_1_9.c[8:0],9,0 0 2 2 8 16 32 64 128
RSA_tb.RSA.mux3_1_9.d[8:0],9,0 0 0 0 8 16 32 64 128
RSA_tb.RSA.MEM0.A[6:0],7,583100 354988 581242 678390 860846 1065542 917838
RSA_tb.RSA.MEM0.CEN,1,920940
RSA_tb.RSA.MEM0.CLK,1,3612846
RSA_tb.RSA.MEM0.D[31:0],32,243044 244003 247285 251267 250579 251607 248231 251826 249207 251607 247984 247582 252609 247721 248119 251221 248668 251772 247876 251569 251689 248816 251340 249015 247485 248465 247492 249683 241203 240488 232086 219553
RSA_tb.RSA.MEM0.MemR,1,1652102
RSA_tb.RSA.MEM0.MemW,1,859318
RSA_tb.RSA.MEM0.WEN,1,859318
RSA_tb.RSA.MEM0.Q[31:0],32,134680 118796 143514 148533 158829 126317 160531 142776 146921 151591 126302 139346 141551 137175 134574 155259 135648 144883 128494 145106 137330 138603 167083 157905 126256 154930 116796 141780 160637 137392 132635 161809
RSA_tb.RSA.MEM1.A[6:0],7,520330 331948 550438 647586 830042 1034740 885038
RSA_tb.RSA.MEM1.CEN,1,920944
RSA_tb.RSA.MEM1.CLK,1,3612846
RSA_tb.RSA.MEM1.D[31:0],32,243044 244003 247285 251267 250579 251607 248231 251826 249207 251607 247984 247582 252609 247721 248119 251221 248668 251772 247876 251569 251689 248816 251340 249015 247485 248465 247492 249683 241203 240488 232086 219553
RSA_tb.RSA.MEM1.MemR,1,1652226
RSA_tb.RSA.MEM1.MemW,1,859196
RSA_tb.RSA.MEM1.WEN,1,859196
RSA_tb.RSA.MEM1.Q[31:0],32,138527 121397 145081 150252 156472 129840 159958 140647 148312 149838 126559 138857 143078 140242 135571 154062 135559 144900 131977 146769 137283 139176 165970 156670 126373 152925 118629 144407 159892 139873 132462 159258
RSA_tb.RSA.MULT_BLK.CLK,1,3612846
RSA_tb.RSA.MULT_BLK.RSTn,1,1
RSA_tb.RSA.MULT_BLK.d_in0[31:0],32,140628 106892 152208 162375 178991 119739 183391 146186 157603 164337 116136 141352 147121 140263 133994 172799 134334 152717 122856 155052 137594 140613 196257 177315 115488 170160 98744 146802 183651 140442 139415 196401
RSA_tb.RSA.MULT_BLK.d_in1[31:0],32,132581 133303 136389 136412 136312 136420 137100 137239 137632 137094 136727 136853 137510 137156 136153 136524 136875 137068 137617 136825 137021 137168 136798 137262 137143 137697 136683 139387 136880 136825 125684 124668
RSA_tb.RSA.MULT_BLK.z[32:0],33,33038 136340 136746 139382 140060 139892 139962 140692 140928 141236 140698 140312 140302 141288 140432 139750 140044 140372 140844 141276 140208 140752 140814 140422 140922 140042 140554 140274 139864 140564 140680 140454 164822
