"Node","Matches"
"InvSubBytes.545:AS
b31 = is_box(a31);","[('aes128_table_ecb_bench.dut.InvSubBytes.b31[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvSubBytes.a31[7:0]', 7, 0)]"
"SubBytes.453:AS
b30 = s_box(a30);","[('aes128_table_ecb_bench.dut.SubBytes.b30[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.SubBytes.a30[7:0]', 7, 0)]"
"101:CA","[]"
"InvMixColumn3.727:AS
m0c = mul4x8({ 4'he }, s0c) ^ mul4x8({ 4'hb }, s1c) ^ mul4x8({ 4'hd }, s2c) ^ mul4x8({ 4'h9 }, s3c);","[('aes128_table_ecb_bench.dut.InvMixColumn3.m0c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn3.s0c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn3.s1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn3.s2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvMixColumn3.s3c[7:0]', 7, 0)]"
"188:AS
next_key[63:32] = w[2] ^ next_key[95:64];","[('aes128_table_ecb_bench.dut.next_key[127:0]', 63, 32), ('aes128_table_ecb_bench.dut.next_key[127:0]', 95, 64)]"
"297:AS
{ s_row[2][0], s_row[2][1], s_row[2][2], s_row[2][3] } = { s_box[2][2], s_box[2][3], s_box[2][0], s_box[2][1] };","[]"
"162:AL","[]"
"MixColumns3.679:AS
m1c = mul4x8({ 4'h1 }, s0c) ^ mul4x8({ 4'h2 }, s1c) ^ mul4x8({ 4'h3 }, s2c) ^ mul4x8({ 4'h1 }, s3c);","[('aes128_table_ecb_bench.dut.MixColumns3.m1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns3.s0c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns3.s1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns3.s2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns3.s3c[7:0]', 7, 0)]"
"InvSubBytes.543:AS
b11 = is_box(a11);","[('aes128_table_ecb_bench.dut.InvSubBytes.b11[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.InvSubBytes.a11[7:0]', 7, 0)]"
"119:IF","[]"
"129:IF","[]"
"150:NS
text_val <= 1'b1;","[('aes128_table_ecb_bench.text_val', 0, 0)]"
"151:NS
text_val <= 1'b0;","[('aes128_table_ecb_bench.text_val', 0, 0)]"
"360:NS
{ istate[0], istate[1], istate[2], istate[3] } <= { istate[0], istate[1], istate[2], istate[3] };","[]"
"130:IF","[]"
"130:NS
busy <= 1'b0;","[('aes128_table_ecb_bench.busy', 0, 0)]"
"MixColumns0.680:AS
m2c = mul4x8({ 4'h1 }, s0c) ^ mul4x8({ 4'h1 }, s1c) ^ mul4x8({ 4'h2 }, s2c) ^ mul4x8({ 4'h3 }, s3c);","[('aes128_table_ecb_bench.dut.MixColumns0.m2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns0.s0c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns0.s1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns0.s2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns0.s3c[7:0]', 7, 0)]"
"MixColumns0.678:AS
m0c = mul4x8({ 4'h2 }, s0c) ^ mul4x8({ 4'h3 }, s1c) ^ mul4x8({ 4'h1 }, s2c) ^ mul4x8({ 4'h1 }, s3c);","[('aes128_table_ecb_bench.dut.MixColumns0.m0c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns0.s0c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns0.s1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns0.s2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns0.s3c[7:0]', 7, 0)]"
"MixColumns1.681:AS
m3c = mul4x8({ 4'h3 }, s0c) ^ mul4x8({ 4'h1 }, s1c) ^ mul4x8({ 4'h1 }, s2c) ^ mul4x8({ 4'h2 }, s3c);","[('aes128_table_ecb_bench.dut.MixColumns1.m3c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns1.s0c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns1.s1c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns1.s2c[7:0]', 7, 0), ('aes128_table_ecb_bench.dut.MixColumns1.s3c[7:0]', 7, 0)]"
"145:NS
key_val <= 1'b0;","[('aes128_table_ecb_bench.key_val', 0, 0)]"
"174:IF","[]"
"105:BS
next_state = 3'h0;","[('aes128_table_ecb_bench.dut.next_state[2:0]', 2, 0)]"
"260:BL
{ state[0], state[1], state[2], state[3] } <= add_roundkey;","[('aes128_table_ecb_bench.dut.add_roundkey[127:0]', 127, 0)]"
"355:BL
{ istate[0], istate[1], istate[2], istate[3] } <= add_iroundkey;","[('aes128_table_ecb_bench.dut.add_iroundkey[127:0]', 127, 0)]"
